Quantity,Description,Aliexpress example
500,"Clear rubber feet, 5mm tall, 8-12 mm diameter",https://www.aliexpress.com/item/32908929797.html - Option “G”
500,"Clear rubber feet, 3mm tall, 8-12 mm diameter",Similar to above
200,"Rotary encoder with push button, 20mm",https://www.aliexpress.com/item/32380406059.html
200,Metal rotary encoder knobs,https://www.aliexpress.com/item/32993061511.html
400,M3 x 16mm black hex socket screw,https://www.aliexpress.com/item/32961249924.html
400,M3 nut black,https://www.aliexpress.com/item/33011176338.html
100,"Anti static bag, 150mm x 200mm",https://www.aliexpress.com/item/33023620079.html
100,"Anti static bag, 80mm x 130mm",https://www.aliexpress.com/item/33023620079.html
